0x4E00: yī  # 一
0x4E01: dīng  # 丁
0x4E03: qī  # 七
0x4E07: wàn  # 万
0x4E08: zhàng  # 丈
0x4E09: sān  # 三
0x4E0A: shàng,shang  # 上
0x4E0B: xià,xia  # 下
0x4E0D: bù,bu  # 不
0x4E0E: yǔ,yù  # 与
0x4E11: choǔ  # 丑
0x4E13: zhuān  # 专
0x4E14: qiě  # 且
0x4E16: shì  # 世
0x4E18: qiū  # 丘
0x4E19: bǐng  # 丙
0x4E1A: yè  # 业
0x4E1B: cóng  # 丛
0x4E1C: dōng  # 东
0x4E1D: sī  # 丝
0x4E1F: diū  # 丟
0x4E22: diū  # 丢
0x4E24: liǎng  # 两
0x4E25: yán  # 严
0x4E27: sàng  # 丧
0x4E2A: gè,ge,gě  # 个
0x4E2B: yā  # 丫
0x4E2D: zhōng,zhòng  # 中
0x4E30: fēng  # 丰
0x4E32: chuàn  # 串
0x4E34: lín  # 临
0x4E38: wán  # 丸
0x4E39: dān,dan  # 丹
0x4E3A: wèi,wéi  # 为
0x4E3B: zhǔ  # 主
0x4E3D: lì  # 丽
0x4E3E: jǔ,ju  # 举
0x4E43: nǎi  # 乃
0x4E45: jiǔ  # 久
0x4E48: me  # 么
0x4E49: yì  # 义
0x4E4B: zhī  # 之
0x4E4C: wū  # 乌
0x4E4E: hu,hū  # 乎
0x4E4F: fá  # 乏
0x4E50: lè,yuè  # 乐
0x4E52: pīng  # 乒
0x4E53: pāng  # 乓
0x4E56: guāi  # 乖
0x4E58: chéng  # 乘
0x4E59: yǐ  # 乙
0x4E5D: jiǔ  # 九
0x4E5F: yě  # 也
0x4E60: xí  # 习
0x4E61: xiāng  # 乡
0x4E66: shū  # 书
0x4E70: mǎi  # 买
0x4E71: luàn  # 乱
0x4E73: rǔ  # 乳
0x4E82: luàn  # 亂
0x4E86: le,liǎo,liào  # 了
0x4E88: yǔ  # 予
0x4E89: zhēng  # 争
0x4E8B: shì,shi  # 事
0x4E8C: èr  # 二
0x4E8E: yú  # 于
0x4E8F: kuī  # 亏
0x4E91: yún  # 云
0x4E92: hù  # 互
0x4E94: wǔ  # 五
0x4E95: jǐng  # 井
0x4E9A: yà  # 亚
0x4E9B: xiē  # 些
0x4E9E: yà  # 亞
0x4EA1: wáng  # 亡
0x4EA4: jiāo  # 交
0x4EA6: yì  # 亦
0x4EA7: chǎn  # 产
0x4EA9: mǔ  # 亩
0x4EAB: xiǎng  # 享
0x4EAD: tíng  # 亭
0x4EAE: liàng,liang  # 亮
0x4EB2: qīn,qin  # 亲
0x4EBA: rén,ren  # 人
0x4EBF: yì  # 亿
0x4EC0: shén,shen  # 什
0x4EC5: jǐn  # 仅
0x4EC7: choú  # 仇
0x4ECA: jīn  # 今
0x4ECB: jiè  # 介
0x4ECD: réng  # 仍
0x4ECE: cóng,cōng  # 从
0x4ED3: cāng  # 仓
0x4ED4: zǐ  # 仔
0x4ED6: tā  # 他
0x4ED7: zhàng  # 仗
0x4ED8: fù,fu  # 付
0x4ED9: xian,xiān  # 仙
