0x3400: qiū  # 㐀
0x3401: tiàn  # 㐁
0x3404: kuà  # 㐄
0x3405: wǔ  # 㐅
0x3406: yǐn  # 㐆
0x340C: yí  # 㐌
0x3416: xié  # 㐖
0x341C: chóu  # 㐜
0x3421: nuò  # 㐡
0x3424: dān  # 㐤
0x3428: xù  # 㐨
0x3429: xíng  # 㐩
0x342B: xiōng  # 㐫
0x342C: liú  # 㐬
0x342D: lǐn  # 㐭
0x342E: xiāng  # 㐮
0x342F: yōng  # 㐯
0x3430: xìn  # 㐰
0x3431: zhěn  # 㐱
0x3432: dài  # 㐲
0x3433: wù  # 㐳
0x3434: pān  # 㐴
0x3435: rú  # 㐵
0x3437: mǎ  # 㐷
0x3438: qiàn  # 㐸
0x3439: yì  # 㐹
0x343A: yín  # 㐺
0x343B: nèi  # 㐻
0x343C: chèng  # 㐼
0x343D: fēng  # 㐽
0x3441: zhuō  # 㑁
0x3442: fǎng  # 㑂
0x3443: ǎo  # 㑃
0x3444: wǔ  # 㑄
0x3445: zuò  # 㑅
0x3447: zhòu  # 㑇
0x3448: dòng  # 㑈
0x3449: sù  # 㑉
0x344A: yì  # 㑊
0x344B: qióng  # 㑋
0x344C: kuāng  # 㑌
0x344D: lèi  # 㑍
0x344E: nǎo  # 㑎
0x344F: zhù  # 㑏
0x3450: shū  # 㑐
0x3454: xǔ  # 㑔
0x3457: shēn  # 㑗
0x3458: jiè  # 㑘
0x3459: dié  # 㑙
0x345A: nuó  # 㑚
0x345B: sù  # 㑛
0x345C: yì  # 㑜
0x345D: lòng  # 㑝
0x345E: yìng  # 㑞
0x345F: běng  # 㑟
0x3463: lán  # 㑣
0x3464: miáo  # 㑤
0x3465: yì  # 㑥
0x3466: lì  # 㑦
0x3467: jì  # 㑧
0x3468: yǔ  # 㑨
0x3469: luó  # 㑩
0x346A: chái  # 㑪
0x346E: hún  # 㑮
0x346F: xǔ  # 㑯
0x3470: huì  # 㑰
0x3471: rǎo  # 㑱
0x3473: zhòu  # 㑳
0x3475: hàn  # 㑵
0x3476: xì  # 㑶
0x3477: tài  # 㑷
0x3478: yáo  # 㑸
0x3479: huì  # 㑹
0x347A: jùn  # 㑺
0x347B: mà  # 㑻
0x347C: lüè  # 㑼
0x347D: táng  # 㑽
0x347E: yáo  # 㑾
0x347F: zhào  # 㑿
0x3480: zhāi  # 㒀
0x3481: yǔ  # 㒁
0x3482: zhuó  # 㒂
0x3483: èr  # 㒃
0x3484: rǎn  # 㒄
0x3485: qǐ  # 㒅
0x3486: chì  # 㒆
0x3487: wǔ  # 㒇
0x3488: hàn  # 㒈
0x3489: tǎng  # 㒉
0x348A: sè  # 㒊
0x348C: qióng  # 㒌
0x348D: léi  # 㒍
0x348E: sà  # 㒎
0x3491: kuǐ  # 㒑
0x3492: pú  # 㒒
0x3493: tà  # 㒓
0x3494: shú  # 㒔
0x3495: yāng  # 㒕
0x3496: ǒu  # 㒖
0x3497: tái  # 㒗
0x3499: mián  # 㒙
0x349A: yìn  # 㒚
0x349B: diào  # 㒛
0x349C: yǔ  # 㒜
0x349D: miè  # 㒝
0x349E: jùn  # 㒞
0x349F: niǎo  # 㒟
0x34A0: xiè  # 㒠
0x34A1: yóu  # 㒡
0x34A4: chè  # 㒤
0x34A5: fēng  # 㒥
0x34A6: lěi  # 㒦
0x34A7: lì  # 㒧
0x34A9: luǒ  # 㒩
0x34AB: jì  # 㒫
0x34B0: quán  # 㒰
0x34B2: cái  # 㒲
0x34B3: liǎng  # 㒳
0x34B4: gǔ  # 㒴
0x34B5: mào  # 㒵
0x34B7: guǎ  # 㒷
0x34B8: suì  # 㒸
0x34BB: mào  # 㒻
0x34BC: mán  # 㒼
0x34BD: quān  # 㒽
0x34BE: shì  # 㒾
0x34BF: lí  # 㒿
0x34C1: wǎng  # 㓁
0x34C2: kòu  # 㓂
0x34C3: dù  # 㓃
0x34C4: zhèn  # 㓄
0x34C5: tīng  # 㓅
0x34C8: bìng  # 㓈
0x34C9: huò  # 㓉
0x34CA: dòng  # 㓊
0x34CB: gòng  # 㓋
0x34CC: chēng  # 㓌
0x34CE: qīn  # 㓎
0x34CF: jiǒng  # 㓏
0x34D0: lù  # 㓐
0x34D1: xìng  # 㓑
0x34D3: nán  # 㓓
0x34D4: xiè  # 㓔
0x34D6: bì  # 㓖
0x34D7: jié  # 㓗
0x34D8: sù  # 㓘
0x34DA: gōng  # 㓚
0x34DC: yòu  # 㓜
0x34DD: xíng  # 㓝
0x34DE: qià  # 㓞
0x34DF: pí  # 㓟
0x34E0: diàn  # 㓠
0x34E1: fǔ  # 㓡
0x34E2: luò  # 㓢
0x34E3: qià  # 㓣
0x34E4: qià  # 㓤
0x34E5: tāng  # 㓥
0x34E6: bāi  # 㓦
0x34E7: gān  # 㓧
0x34E8: cí  # 㓨
0x34E9: xuān  # 㓩
0x34EA: lǎng  # 㓪
0x34ED: shé  # 㓭
0x34EF: lí  # 㓯
0x34F0: huà  # 㓰
0x34F1: tóu  # 㓱
0x34F2: piān  # 㓲
0x34F3: dī  # 㓳
0x34F4: ruǎn  # 㓴
0x34F5: è  # 㓵
0x34F6: qiè  # 㓶
0x34F7: yì  # 㓷
0x34F8: zhuō  # 㓸
0x34F9: ruì  # 㓹
0x34FA: jiān  # 㓺
0x34FC: chì  # 㓼
0x34FD: chóng  # 㓽
0x34FE: xī  # 㓾
0x3500: lüè  # 㔀
0x3501: dēng  # 㔁
0x3502: lín  # 㔂
0x3503: jué  # 㔃
0x3504: sù  # 㔄
0x3505: xiào  # 㔅
0x3506: zàn  # 㔆
0x3509: zhǔ  # 㔉
0x350A: zhǎn  # 㔊
0x350B: jiān  # 㔋
0x350C: zòu  # 㔌
0x350D: chuā  # 㔍
0x350E: xiè  # 㔎
0x350F: lì  # 㔏
0x3511: chì  # 㔑
0x3512: xí  # 㔒
0x3513: jiǎn  # 㔓
0x3515: jí  # 㔕
0x3517: fèi  # 㔗
0x3518: chù  # 㔘
0x3519: bēng  # 㔙
0x351A: jié  # 㔚
0x351C: bá  # 㔜
0x351D: liǎng  # 㔝
0x351E: kuài  # 㔞
0x3520: xiā  # 㔠
0x3521: biē  # 㔡
0x3522: jué  # 㔢
0x3523: léi  # 㔣
0x3524: xìn  # 㔤
0x3525: bài  # 㔥
0x3526: yǎng  # 㔦
0x3527: lǜ  # 㔧
0x3528: bèi  # 㔨
0x3529: è  # 㔩
0x352A: lǔ  # 㔪
0x352D: chè  # 㔭
0x352E: nuó  # 㔮
0x352F: xuán  # 㔯
0x3530: héng  # 㔰
0x3531: yǔ  # 㔱
0x3533: guǐ  # 㔳
0x3534: yì  # 㔴
0x3535: xuǎn  # 㔵
0x3536: gòng  # 㔶
0x3537: lòu  # 㔷
0x3538: tī  # 㔸
0x3539: lè  # 㔹
0x353A: shì  # 㔺
0x353C: sǔn  # 㔼
0x353D: yào  # 㔽
0x353E: xiān  # 㔾
0x353F: zòu  # 㔿
0x3541: què  # 㕁
0x3542: yín  # 㕂
0x3543: xī  # 㕃
0x3544: zhǐ  # 㕄
0x3545: jiá  # 㕅
0x3546: hù  # 㕆
0x3547: lā  # 㕇
0x3548: yǐ  # 㕈
0x3549: kè  # 㕉
0x354A: fū  # 㕊
0x354B: qín  # 㕋
0x354C: ài  # 㕌
0x354E: kè  # 㕎
0x354F: chú  # 㕏
0x3550: xiě  # 㕐
0x3551: chú  # 㕑
0x3552: wēi  # 㕒
0x3555: huàn  # 㕕
0x3556: sù  # 㕖
0x3557: yòu  # 㕗
0x3559: jùn  # 㕙
0x355A: zhǎo  # 㕚
0x355B: xù  # 㕛
0x355C: shǐ  # 㕜
0x355E: shuā  # 㕞
0x355F: kuì  # 㕟
0x3560: shuāng  # 㕠
0x3561: hé  # 㕡
0x3562: gài  # 㕢
0x3563: yǎn  # 㕣
0x3564: qiú  # 㕤
0x3565: shēn  # 㕥
0x3566: huà  # 㕦
0x3567: xī  # 㕧
0x3568: fàn  # 㕨
0x3569: pàng  # 㕩
0x356A: dǎn  # 㕪
0x356B: fǎng  # 㕫
0x356C: gōng  # 㕬
0x356D: āo  # 㕭
0x356E: fǔ  # 㕮
0x356F: nè  # 㕯
0x3570: xuè  # 㕰
0x3571: yóu  # 㕱
0x3572: huá  # 㕲
0x3574: chén  # 㕴
0x3575: guó  # 㕵
0x3576: ň  # 㕶
0x3577: huà  # 㕷
0x3578: lì  # 㕸
0x3579: fá  # 㕹
0x357A: xiāo  # 㕺
0x357B: pǒu  # 㕻
0x357D: sì  # 㕽
0x3580: lè  # 㖀
0x3581: lìn  # 㖁
0x3582: yì  # 㖂
0x3583: hǒu  # 㖃
0x3585: xù  # 㖅
0x3586: qú  # 㖆
0x3587: ér  # 㖇
0x358A: xún  # 㖊
0x358F: niè  # 㖏
0x3590: wěi  # 㖐
0x3591: xiè  # 㖑
0x3592: tí  # 㖒
0x3593: hóng  # 㖓
0x3594: tǔn  # 㖔
0x3595: niè  # 㖕
0x3596: niè  # 㖖
0x3597: yín  # 㖗
0x3598: zhēn  # 㖘
0x359E: wāi  # 㖞
0x359F: shòu  # 㖟
0x35A0: nuò  # 㖠
0x35A1: yè  # 㖡
0x35A2: qí  # 㖢
0x35A3: tòu  # 㖣
0x35A4: hán  # 㖤
0x35A5: jùn  # 㖥
0x35A6: dǒng  # 㖦
0x35A7: hūn  # 㖧
0x35A8: lù  # 㖨
0x35A9: jū  # 㖩
0x35AA: huò  # 㖪
0x35AB: líng  # 㖫
0x35AD: tiǎn  # 㖭
0x35AE: lún  # 㖮
0x35B5: gé  # 㖵
0x35B6: yān  # 㖶
0x35B7: shí  # 㖷
0x35B8: xué  # 㖸
0x35B9: pēn  # 㖹
0x35BA: chǔn  # 㖺
0x35BB: niú  # 㖻
0x35BC: duǒ  # 㖼
0x35BD: zé  # 㖽
0x35BE: è  # 㖾
0x35BF: xié  # 㖿
0x35C0: yōu  # 㗀
0x35C1: è  # 㗁
0x35C2: shěng  # 㗂
0x35C3: wěn  # 㗃
0x35C4: kū  # 㗄
0x35C5: hú  # 㗅
0x35C6: gé  # 㗆
0x35C7: xiá  # 㗇
0x35C8: màn  # 㗈
0x35C9: lüè  # 㗉
0x35CA: jí  # 㗊
0x35CB: hóu  # 㗋
0x35CC: zhì  # 㗌
0x35CF: wāi  # 㗏
0x35D1: bai  # 㗑
0x35D2: ài  # 㗒
0x35D3: zhuī  # 㗓
0x35D4: qiān  # 㗔
0x35D5: gòu  # 㗕
0x35D6: dàn  # 㗖
0x35D7: bēi  # 㗗
0x35D8: bó  # 㗘
0x35D9: chū  # 㗙
0x35DA: lì  # 㗚
0x35DB: xiào  # 㗛
0x35DC: xiù  # 㗜
0x35E2: hóng  # 㗢
0x35E3: tì  # 㗣
0x35E4: cù  # 㗤
0x35E5: kuò  # 㗥
0x35E6: láo  # 㗦
0x35E7: zhì  # 㗧
