0x3447: zhòu  # 㑇
0x344C: kuāng  # 㑌
0x3469: luó  # 㑩
0x3473: zhòu  # 㑳
0x3493: tà  # 㒓
0x34E6: bāi  # 㓦
0x3509: zhǔ  # 㔉
0x351A: jié  # 㔚
0x3551: chú  # 㕑
0x355C: shǐ  # 㕜
0x3560: shuāng  # 㕠
0x3576: ň,ňg  # 㕶
0x358A: xún  # 㖊
0x359E: wāi  # 㖞
0x35C4: kū  # 㗄
0x35CF: wāi  # 㗏
0x35D1: bai  # 㗑
0x3604: lēng  # 㘄
0x3606: tǎi  # 㘆
0x360E: hǎn  # 㘎
0x3617: qū  # 㘗
0x3625: yóu  # 㘥
0x362D: ào  # 㘭
0x3631: tān  # 㘱
0x3635: bù  # 㘵
0x3658: yāo  # 㙘
0x365F: lǎng  # 㙟
0x3666: xié  # 㙦
0x3681: qiào  # 㚁
0x36A2: nú  # 㚢
0x36BB: jī  # 㚻
0x36C3: jié  # 㛃
0x3743: miǎn  # 㝃
0x3761: zuì  # 㝡
0x377F: bǒ  # 㝿
0x378E: bǎ  # 㞎
0x3797: qiú  # 㞗
0x3798: dū  # 㞘
0x379E: sóng  # 㞞
0x37C2: mǔ  # 㟂
0x37D6: lòng  # 㟖
0x37E4: lù  # 㟤
0x37F7: da  # 㟷
0x3804: xí  # 㠄
0x382F: yǐ  # 㠯
0x383E: yuān  # 㠾
0x3851: qiāo  # 㡑
0x3853: kūn  # 㡓
0x3860: zhèng  # 㡠
0x3861: chú  # 㡡
0x3867: zhèng  # 㡧
0x3905: ài  # 㤅
0x3918: zhòu  # 㤘
0x3925: hài  # 㤥
0x394F: tiǎn  # 㥏
0x3966: qiè  # 㥦
0x396E: zhòu  # 㥮
0x3975: hùn  # 㥵
0x39C0: jí  # 㧀
0x39CF: gāng  # 㧏
0x39D0: sǒng  # 㧐
0x39D1: huī  # 㧑
0x39DF: kuǎi  # 㧟
0x3A04: zhōu  # 㨄
0x3A17: jié  # 㨗
0x3A18: xǐng  # 㨘
0x3A2A: huàng  # 㨪
0x3A4B: xiāo  # 㩋
0x3A50: dèn  # 㩐
0x3A59: sāi  # 㩙
0x3A5F: zhài  # 㩟
0x3A73: sǒng  # 㩳
0x3A8D: bó  # 㪍
0x3ABA: jū  # 㪺
0x3AF0: làng  # 㫰
0x3B09: nuǎn  # 㬉
0x3B0A: huàn  # 㬊
0x3B0E: xiǎn  # 㬎
0x3B1F: fēn  # 㬟
0x3B24: qī  # 㬤
0x3B4E: gāng  # 㭎
0x3BA3: gài  # 㮣
0x3BBE: lǎng  # 㮾
0x3BED: lǔ  # 㯭
0x3BF3: qíng  # 㯳
0x3C0D: lóng  # 㰍
0x3C43: yǐn  # 㱃
0x3C84: jué  # 㲄
0x3C93: róng  # 㲓
0x3CB2: dié  # 㲲
0x3CC2: yán,yàn  # 㳂
0x3CC7: fù  # 㳇
0x3CE0: tà  # 㳠
0x3D29: yōng  # 㴩
0x3D50: jué  # 㵐
0x3D72: wǔ  # 㵲
0x3D81: guó  # 㶁
0x3D89: xī  # 㶉
0x3D91: liàn  # 㶑
0x3D9F: lěi  # 㶟
0x3DDF: tuì  # 㷟
0x3E4E: léi  # 㹎
0x3E62: jiā  # 㹢
0x3E6D: yì  # 㹭
0x3E80: hū  # 㺀
0x3E84: yǔ  # 㺄
0x3E85: hóu  # 㺅
0x3EA2: huò  # 㺢
0x3EEB: bì  # 㻫
0x3F08: luó  # 㼈
0x3F41: lì  # 㽁
0x3F4F: gàn  # 㽏
0x3F58: gǎng  # 㽘
0x3FB9: chái  # 㾹
0x4007: gǔ  # 䀇
0x4009: qiáo  # 䀉
0x400C: xì  # 䀌
0x4026: gǔ  # 䀦
0x4056: lōu  # 䁖
0x40AB: hāng  # 䂫
0x40C5: dī  # 䃅
0x40C9: mín  # 䃉
0x40CE: zhà  # 䃎
0x40D8: kēng  # 䃘
0x40E0: xuàn  # 䃠
0x40F0: cā  # 䃰
0x410D: zhà  # 䄍
0x413B: táo  # 䄻
0x415F: cǎn  # 䅟
0x41ED: lǎo  # 䇭
0x41F2: cè,jiā  # 䇲
0x41FD: zhé  # 䇽
0x420E: yè  # 䈎
0x426C: fèi  # 䉬
0x4272: mí  # 䉲
0x4275: zhuàn,zuǎn  # 䉵
0x42AA: lì  # 䊪
0x42CE: zhàn  # 䋎
0x4308: tā  # 䌈
0x4325: yǐn  # 䌥
0x4337: chōu,chóu  # 䌷
0x4339: jiǒng  # 䌹
0x4349: zhǎi  # 䍉
0x4361: lù  # 䍡
0x43B1: bà  # 䎱
0x43DD: zhuān  # 䏝
0x43FF: qǐ  # 䏿
0x441B: dā  # 䐛
0x4472: zhào  # 䑲
0x447D: tà  # 䑽
0x44A3: rǎn  # 䒣
0x44B7: guā  # 䒷
0x44BF: liáo  # 䒿
0x44D6: qióng  # 䓖
0x44E8: yīng  # 䓨
0x451B: qǐng  # 䔛
0x456D: qián  # 䕭
0x4577: mí  # 䕷
0x458F: chǔ,chù  # 䖏
0x45AE: xiǎng  # 䖮
0x45B3: zhà  # 䖳
0x45D6: dì  # 䗖
0x45DB: xiū  # 䗛
0x45EA: zhè  # 䗪
0x45FB: jié  # 䗻
0x460C: nì  # 䘌
0x4615: háng  # 䘕
0x462E: sāng,sàng  # 䘮
0x464C: kuì  # 䙌
0x473A: chǎi  # 䜺
0x474B: zòng  # 䝋
0x475F: yà  # 䝟
0x478D: qíng  # 䞍
0x4793: chēng  # 䞓
0x47E1: zhī  # 䟡
0x4800: tāng  # 䠀
0x480A: fèi  # 䠊
0x4831: zhú  # 䠱
0x48BA: chū  # 䢺
0x490C: qiāng  # 䤌
0x4928: pì  # 䤨
0x493C: xiàn  # 䤼
0x4947: shàn  # 䥇
0x4955: piě  # 䥕
0x495B: jiē  # 䥛
0x497D: pō  # 䥽
0x4983: zhuō  # 䦃
0x4986: jué  # 䦆
0x49B6: zhèng  # 䦶
0x49B7: chuài  # 䦷
0x49E1: yōng  # 䧡
0x4A26: pāng  # 䨦
0x4A44: miǎn,tiǎn  # 䩄
0x4A6C: běng  # 䩬
0x4A7A: wēng  # 䩺
0x4A8D: lán  # 䪍
0x4AC8: chěn  # 䫈
0x4ACF: qī  # 䫏
0x4B54: duī  # 䭔
0x4BC4: guā  # 䯄
0x4BE7: qǐng  # 䯧
0x4BFC: dí  # 䯼
0x4C00: wǒ  # 䰀
0x4C16: zuǎn  # 䰖
0x4C1B: lì  # 䰛
0x4C57: cān  # 䱗
0x4C5A: lù  # 䱚
0x4C5B: huò  # 䱛
0x4C68: là  # 䱨
0x4C75: wēng  # 䱵
0x4C77: yú  # 䱷
0x4C7B: huá  # 䱻
0x4C97: xián  # 䲗
0x4C9F: yìn  # 䲟
